,full_name,resale_price,registered_year,engine_capacity,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type
9503,Maruti Swift VXI,600000.0,2020,1197,Manual,40000,First Owner,Petrol,5,21.21,Hatchback
9504,Hyundai i20 Magna,350000.0,2013,1197,Manual,70000,Second Owner,Petrol,5,18.5,Hatchback
9505,Maruti Celerio Green VXI Optional,390000.0,2016,998,Manual,90000,Second Owner,CNG,5,31.79,Hatchback
9506,MG Hector Plus Sharp DCT,1900000.0,2021,1451,Automatic,20000,First Owner,Petrol,6,11.67,SUV
9507,Hyundai Xcent 1.2 VTVT S,541000.0,2018,1197,Manual,31133,First Owner,Petrol,5,20.14,Sedan
9508,Maruti Wagon R CNG LXI BSIV,509000.0,2019,998,Manual,53085,First Owner,CNG,5,33.54,Hatchback
9509,Maruti Baleno 1.2 Zeta,616000.0,2019,1197,Manual,77169,First Owner,Petrol,5,21.4,Hatchback
9510,Maruti Swift VXI,294000.0,2012,1197,Manual,70989,First Owner,Petrol,5,22.38,Hatchback
9511,Hyundai Grand i10 Sportz,361000.0,2014,1197,Manual,80039,First Owner,Petrol,5,18.9,Hatchback
9512,Honda Jazz 1.2 VX i VTEC,534000.0,2016,1199,Manual,68687,First Owner,Petrol,5,18.7,Hatchback
9513,Hyundai Creta 1.6 VTVT E Plus,825000.0,2017,1591,Manual,41007,First Owner,Petrol,5,15.29,SUV
9514,Maruti Alto 800 LXI CNG,312000.0,2017,796,Manual,68031,First Owner,CNG,5,33.0,Hatchback
9515,Maruti Wagon R VXI BS IV,309000.0,2015,998,Manual,84392,First Owner,Petrol,5,20.51,Hatchback
9516,Maruti SX4 S Cross Alpha,969999.9999999999,2021,1462,Manual,20000,First Owner,Petrol,5,18.55,SUV
9517,Maruti Vitara Brezza VDi AMT,600000.0,2019,1248,Automatic,70000,First Owner,Diesel,5,24.3,SUV
9518,Renault Triber RXL EASY-R AMT,550000.0,2020,999,Automatic,20000,First Owner,Petrol,7,18.2,MUV
9519,Maruti Ignis Zeta BSVI,615000.0,2021,1197,Manual,40000,First Owner,Petrol,5,20.89,Hatchback
9520,Kia Seltos HTK Plus G,1350000.0,2022,1497,Manual,10000,First Owner,Petrol,5,16.8,SUV
9521,Land Rover Freelander 2 HSE SD4,919999.9999999999,2012,2179,Automatic,110000,Second Owner,Diesel,5,12.35,SUV
9522,Maruti Wagon R LXI BS IV,316000.0,2014,998,Manual,50431,Second Owner,Petrol,5,20.51,Hatchback
9523,Hyundai Grand i10 Sportz,384000.0,2016,1197,Manual,87714,Second Owner,Petrol,5,18.9,Hatchback
9524,Honda City 1.5 V MT Exclusive,285000.0,2010,1497,Manual,100759,First Owner,Petrol,5,17.0,Sedan
9525,Mahindra Thar CRDe,894000.0,2019,2498,Manual,36055,First Owner,Diesel,6,16.55,SUV
9526,Maruti Swift LXI,273000.0,2012,1197,Manual,52991,Second Owner,Petrol,5,22.38,Hatchback
9527,Hyundai Verna S Plus,1140000.0,2021,1497,Manual,14800,First Owner,Petrol,5,17.7,Sedan
9528,Maruti Celerio VXI AMT,386000.0,2016,998,Automatic,98397,First Owner,Petrol,5,26.68,Hatchback
9529,Maruti Wagon R VXI BS IV,284000.0,2014,998,Manual,79204,Second Owner,Petrol,5,20.51,Hatchback
9530,Maruti Swift Dzire VDi,317000.0,2012,1248,Manual,117336,First Owner,Diesel,5,19.3,Sedan
9531,Toyota Glanza G,715000.0,2021,1197,Manual,40000,First Owner,Petrol,5,21.01,Hatchback
9532,Hyundai Accent Executive CNG,125000.0,2011,1495,Manual,120000,Fifth Owner,CNG,5,13.2,Sedan
9533,Hyundai Verna 1.6 SX,350000.0,2014,1582,Manual,90000,Second Owner,Diesel,5,22.32,Sedan
9534,Maruti Swift LXI Optional-O,380000.0,2015,1197,Manual,60000,First Owner,Petrol,5,20.4,Hatchback
9535,Hyundai i20 Active 1.2 SX,459999.99999999994,2016,1197,Manual,120000,Second Owner,Petrol,5,17.19,Hatchback
9536,Maruti Ciaz 1.4 AT Alpha,525000.0,2017,1373,Automatic,80000,First Owner,Petrol,5,19.12,Sedan
9537,Toyota Etios Liva 1.2 V Dual Tone,544000.0,2019,1197,Manual,82334,First Owner,Petrol,5,17.71,Hatchback
9538,Maruti Wagon R VXI BS IV,310000.0,2015,998,Manual,55386,First Owner,Petrol,5,20.51,Hatchback
9539,Toyota Etios G,248000.0,2011,1496,Manual,73068,First Owner,Petrol,5,17.6,Sedan
9540,Maruti S-Presso VXI Plus 2019-2022,412000.0,2019,998,Manual,20792,First Owner,Petrol,5,21.7,Hatchback
9541,Skoda Rapid 1.5 TDI AT Style BSIV,814000.0,2018,1498,Automatic,59030,Second Owner,Diesel,5,21.72,Sedan
9542,Maruti Swift LXI Optional-O,397000.0,2017,1197,Manual,79697,First Owner,Petrol,5,20.4,Hatchback
9543,Maruti Swift Dzire ZXI Plus,618000.0,2017,1197,Manual,38773,First Owner,Petrol,5,21.21,Sedan
9544,Maruti Swift Dzire ZDI,539000.0,2016,1248,Manual,73201,First Owner,Diesel,5,26.59,Sedan
9545,Renault KWID 1.0 RXL AMT,462000.0,2021,999,Automatic,9263,First Owner,Petrol,5,22.0,Hatchback
9546,Hyundai Creta 1.6 VTVT S,769000.0,2016,1591,Manual,48483,First Owner,Petrol,5,15.29,SUV
9547,Maruti Swift Dzire VXI,364000.0,2013,1197,Manual,63055,First Owner,Petrol,5,22.41,Sedan
9548,Maruti Alto 800 LXI,280000.0,2018,796,Manual,67499,First Owner,Petrol,5,24.7,Hatchback
9549,Maruti SX4 S Cross DDiS 200 Zeta,551000.0,2016,1248,Manual,121693,First Owner,Diesel,5,23.65,SUV
9550,Volkswagen Vento Petrol Trendline,210000.0,2011,1598,Manual,77986,Second Owner,Petrol,5,15.04,Sedan
9551,Mahindra XUV500 AT W8 FWD,850000.0,2017,2179,Automatic,64559,Second Owner,Diesel,7,16.0,SUV
9552,Toyota Innova Crysta 2.4 G 7 STR,1698999.9999999998,2021,2393,Manual,22591,First Owner,Diesel,7,12.0,MUV
9553,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,425000.0,2017,1498,Manual,62227,Second Owner,Diesel,5,23.0,SUV
9554,Tata Zest Quadrajet 1.3 XMS,208000.0,2015,1248,Manual,130588,First Owner,Diesel,5,23.0,Sedan
9555,Maruti SX4 Vxi BSIII,8800000.0,2009,1586,Manual,96394,Second Owner,Petrol,5,15.0,Sedan
9556,Honda City i VTEC VX,633000.0,2014,1497,Manual,52927,First Owner,Petrol,5,17.4,Sedan
9557,Hyundai Santro Xing GLS,154000.0,2011,1086,Manual,73091,Second Owner,Petrol,5,17.92,Hatchback
9558,Maruti Celerio LXI,341000.0,2018,998,Manual,37934,First Owner,Petrol,5,25.24,Hatchback
9559,Nissan Magnite XL BSVI,654000.0,2021,999,Manual,37014,First Owner,Petrol,5,18.75,SUV
9560,Maruti Alto K10 VXI,162000.0,2010,998,Manual,42373,Second Owner,Petrol,5,24.39,Hatchback
9561,Maruti Swift Dzire AMT VXI,617000.0,2018,1197,Automatic,73705,First Owner,Petrol,5,21.21,Sedan
9562,Tata Nexon XZ Plus Diesel,679000.0,2018,1497,Manual,95268,First Owner,Diesel,5,23.22,SUV
9563,Honda Brio E MT,248000.0,2013,1198,Manual,101259,First Owner,Petrol,5,19.4,Hatchback
9564,Hyundai i10 Sportz,191000.0,2011,1197,Manual,54095,First Owner,Petrol,5,20.36,Hatchback
9565,Hyundai i10 Magna,156000.0,2010,1197,Manual,99873,First Owner,Petrol,5,20.36,Hatchback
9566,Maruti Swift Dzire VXI 1.2,569000.0,2019,1197,Manual,32436,First Owner,Petrol,5,21.21,Sedan
9567,Hyundai Tucson 2.0 e-VGT 2WD MT,1088000.0,2017,1995,Manual,53047,Second Owner,Diesel,5,18.42,SUV
9568,Toyota Fortuner 4x2 4 Speed AT,1154000.0,2013,2982,Automatic,109618,First Owner,Diesel,7,11.5,SUV
9569,Maruti Wagon R VXI BS IV,260000.0,2016,998,Manual,97975,First Owner,Petrol,5,20.51,Hatchback
9570,Hyundai Verna 1.6 SX,350000.0,2014,1582,Manual,94009,First Owner,Diesel,5,22.32,Sedan
9571,Honda Amaze E i-Dtech,218000.00000000003,2014,1498,Manual,85489,First Owner,Diesel,5,25.8,Sedan
9572,Maruti Swift VDI BSIV,380000.0,2015,1248,Manual,90805,First Owner,Diesel,5,25.2,Hatchback
9573,Hyundai Venue S,850000.0,2022,1197,Manual,10946,First Owner,Petrol,5,17.52,SUV
9574,MG Hector Hybrid Sharp MT,1490000.0,2020,1451,Manual,22231,First Owner,Petrol,5,15.81,SUV
9575,Audi A6 2.0 TDI,847000.0000000001,2013,1968,Automatic,83384,Third Owner,Diesel,5,17.68,Sedan
9576,Maruti Alto K10 VXI,337000.0,2017,998,Manual,41428,Third Owner,Petrol,5,24.39,Hatchback
9577,Maruti Celerio ZXI AMT,424000.0,2018,998,Automatic,66387,Second Owner,Petrol,5,26.0,Hatchback
9578,Hyundai Aura S,638000.0,2020,1197,Manual,22599,First Owner,Petrol,5,20.5,Sedan
9579,Tata Tigor XZ,498000.00000000006,2018,1199,Manual,40031,First Owner,Petrol,5,20.3,Sedan
9580,Toyota Etios Liva GD,389000.0,2016,1364,Manual,65041,Second Owner,Diesel,5,23.59,Hatchback
9581,Tata Tiago 1.2 Revotron XZ,458000.0,2018,1199,Manual,52944,First Owner,Petrol,5,23.84,Hatchback
9582,Maruti Celerio VXI,470000.0,2019,998,Manual,25268,First Owner,Petrol,5,25.24,Hatchback
9583,Toyota Etios V,252000.0,2011,1496,Manual,45599,First Owner,Petrol,5,17.6,Sedan
9584,Renault KWID 1.0 RXT BSIV,371000.0,2020,999,Manual,44904,Second Owner,Petrol,5,23.01,Hatchback
9585,Maruti SX4 S Cross Zeta DDiS 200 SH,624000.0,2018,1248,Manual,64362,First Owner,Diesel,5,25.1,SUV
9586,Renault KWID 1.0 RXL AMT,467000.0,2020,999,Automatic,22475,First Owner,Petrol,5,22.0,Hatchback
9587,Toyota Fortuner 4x2 AT,1170000.0,2014,2982,Automatic,69268,First Owner,Diesel,7,12.55,SUV
9588,Skoda Fabia 1.2 MPI Active Plus,136000.0,2011,1198,Manual,79803,Second Owner,Petrol,5,16.25,Hatchback
9589,Hyundai Xcent 1.1 CRDi SX Option,225000.0,2014,1120,Manual,139323,First Owner,Diesel,5,24.4,Sedan
9590,Jaguar XF 2.2 Litre Executive,1155000.0,2015,2179,Automatic,157794,First Owner,Diesel,5,16.36,Sedan
9591,Tata Hexa XTA,850000.0,2018,2179,Automatic,186969,First Owner,Diesel,7,17.6,MUV
9592,BMW 3 Series 320i,669000.0,2009,1995,Automatic,36217,Third Owner,Petrol,5,12.05,Sedan
9593,Maruti Swift VDI BSIV,302000.0,2014,1248,Manual,141864,First Owner,Diesel,5,25.2,Hatchback
9594,Kia Seltos HTX Plus AT D,1310000.0,2020,1493,Automatic,17429,First Owner,Diesel,5,17.8,SUV
9595,Maruti Zen Estilo LXI,179000.0,2012,998,Manual,15432,First Owner,Petrol,5,19.0,Hatchback
9596,Maruti Baleno 1.2 Zeta,629000.0,2019,1197,Manual,33459,Second Owner,Petrol,5,21.4,Hatchback
9597,Maruti Wagon R LXI BS IV,258000.0,2014,998,Manual,78125,First Owner,Petrol,5,20.51,Hatchback
9598,Maruti Wagon R LXI,418000.0,2019,998,Manual,22863,Second Owner,Petrol,5,21.79,Hatchback
9599,Ford Ecosport 1.5 Diesel Titanium BSIV,752000.0,2019,1498,Manual,43531,First Owner,Diesel,5,23.0,SUV
9600,Tata Nexon XZ 2020-2022,902000.0,2021,1199,Manual,23838,First Owner,Petrol,5,17.57,SUV
9601,Hyundai i20 Sportz Plus,613000.0,2020,1197,Manual,44394,First Owner,Petrol,5,18.6,Hatchback
9602,Maruti Swift Dzire VXI 1.2,612000.0,2019,1197,Manual,30444,First Owner,Petrol,5,21.21,Sedan
9603,Nissan Magnite XE BSVI,565000.0,2022,999,Manual,15031,Second Owner,Petrol,5,18.75,SUV
9604,Maruti Celerio ZXI,379000.0,2016,998,Manual,25318,Second Owner,Petrol,5,25.24,Hatchback
9605,Maruti SX4 S Cross Zeta DDiS 200 SH,641000.0,2018,1248,Manual,73126,First Owner,Diesel,5,25.1,SUV
9606,Renault KWID RXL,297000.0,2018,799,Manual,49390,First Owner,Petrol,5,22.25,Hatchback
9607,Ford Ecosport 1.5 DV5 MT Titanium,300000.0,2013,1498,Manual,84097,Second Owner,Diesel,5,22.7,SUV
9608,Maruti Wagon R VXI Minor,8500000.0,2009,1061,Manual,146439,First Owner,Petrol,5,18.9,Hatchback
9609,Toyota Etios Liva GD,229999.99999999997,2014,1364,Manual,147043,Second Owner,Diesel,5,23.59,Hatchback
9610,Honda Amaze S i-Dtech,305000.0,2015,1498,Manual,65660,First Owner,Diesel,5,25.8,Sedan
9611,Jaguar XF 2.0 Diesel Prestige,1850000.0,2016,1999,Automatic,62451,First Owner,Diesel,5,19.33,Sedan
9612,Nissan Terrano XL Plus 85 PS,250000.0,2014,1461,Manual,98133,Second Owner,Diesel,5,20.45,SUV
9613,Mercedes-Benz M-Class ML 250 CDI,1486000.0,2014,2143,Automatic,78213,Second Owner,Diesel,5,15.26,SUV
9614,Volkswagen Polo 1.5 TDI Highline Plus,223000.0,2018,1498,Manual,113190,First Owner,Diesel,5,20.14,Hatchback
9615,Maruti Vitara Brezza ZDi AMT,741000.0,2019,1248,Automatic,87576,First Owner,Diesel,5,24.3,SUV
9616,Maruti Ignis 1.2 Sigma BSIV,415000.00000000006,2018,1197,Manual,77588,First Owner,Petrol,5,20.89,Hatchback
9617,Mahindra TUV 300 Plus P8 BSIV,693000.0,2018,2179,Manual,93924,Second Owner,Diesel,9,18.49,SUV
9618,Datsun RediGO AMT 1.0 S,389000.0,2018,999,Automatic,4909,Second Owner,Petrol,5,23.0,Hatchback
9619,Maruti Alto 800 LXI CNG,333000.0,2018,796,Manual,68588,First Owner,CNG,5,33.0,Hatchback
9620,Hyundai i20 Sportz 1.2,447000.0,2014,1197,Manual,48192,First Owner,Petrol,5,18.6,Hatchback
9621,Hyundai Creta 1.6 SX Option,1010000.0,2018,1591,Manual,60036,First Owner,Petrol,5,15.8,SUV
9622,Honda City i VTEC V,539000.0,2014,1497,Manual,20650,Second Owner,Petrol,5,17.4,Sedan
9623,Honda Amaze V Petrol BSIV,553000.0,2018,1199,Manual,55561,First Owner,Petrol,5,19.5,Sedan
9624,Maruti Ertiga VXI,629000.0,2014,1462,Manual,86898,First Owner,Petrol,7,20.51,MUV
9625,Maruti Vitara Brezza VDi,641000.0,2018,1248,Manual,81586,Second Owner,Diesel,5,24.3,SUV
9626,Tata Nexon 1.5 Revotorq XZA Plus,646000.0,2018,1497,Automatic,112209,First Owner,Diesel,5,21.5,SUV
9627,Mitsubishi Outlander 2.4,371000.0,2010,2360,Automatic,205210,Second Owner,Petrol,5,11.3,SUV
9628,Hyundai i10 Magna 1.2,120000.0,2009,1197,Manual,126751,First Owner,Petrol,5,20.36,Hatchback
9629,Hyundai i10 Magna 1.2,8200000.0,2008,1197,Manual,93196,Third Owner,Petrol,5,20.36,Hatchback
9630,Maruti Swift Dzire VXi,108000.0,2008,1298,Manual,78485,Second Owner,Petrol,5,17.5,Sedan
9631,Honda City i VTEC CVT VX,545000.0,2015,1497,Automatic,96920,First Owner,Petrol,5,18.0,Sedan
9632,Ford Endeavour 3.0L AT 4x2,600000.0,2014,2953,Automatic,111023,Third Owner,Diesel,7,11.4,SUV
9633,Skoda Rapid 1.6 TDI Ambition,215000.0,2013,1598,Manual,80447,Third Owner,Diesel,5,20.5,Sedan
9634,Honda City 1.5 V MT,220000.00000000003,2011,1497,Manual,111686,Second Owner,Petrol,5,17.0,Sedan
9635,Honda City V AT,311000.0,2011,1497,Automatic,99520,First Owner,Petrol,5,15.6,Sedan
9636,Maruti Wagon R LXI,501000.0,2020,998,Manual,9739,First Owner,Petrol,5,21.79,Hatchback
9637,Maruti Baleno 1.2 Delta,561000.0,2019,1197,Manual,28991,First Owner,Petrol,5,21.4,Hatchback
9638,Maruti Ritz Elate Edition VXi,310000.0,2014,1197,Manual,65519,First Owner,Petrol,5,18.5,Hatchback
9639,Maruti Swift VXI,556000.0,2019,1197,Manual,32501,First Owner,Petrol,5,22.38,Hatchback
9640,Toyota Urban cruiser High AT,918000.0,2021,1462,Automatic,58547,First Owner,Petrol,5,18.76,SUV
9641,Volkswagen Virtus GT Plus DSG BSVI,1735000.0000000002,2022,1498,Automatic,10922,First Owner,Petrol,5,18.67,Sedan
9642,Maruti Ritz VXi,189000.0,2010,1197,Manual,64204,First Owner,Petrol,5,18.5,Hatchback
9643,Hyundai i20 1.2 Magna Executive,587000.0,2018,1197,Manual,14362,First Owner,Petrol,5,18.6,Hatchback
9644,Maruti Swift LXI,227000.0,2011,1197,Manual,55018,Second Owner,Petrol,5,22.38,Hatchback
9645,Maruti Swift Dzire VXI,316000.0,2013,1197,Manual,68376,First Owner,Petrol,5,22.41,Sedan
9646,Maruti Swift RS VXI,300000.0,2013,1197,Manual,36232,First Owner,Petrol,5,18.6,Hatchback
9647,Datsun GO Plus T BSIV,210000.0,2015,1198,Manual,71155,First Owner,Petrol,7,19.44,MUV
9648,Fiat Linea 1.3 Dynamic,170000.0,2012,1248,Manual,104493,First Owner,Diesel,5,20.4,Sedan
9649,Ford Figo Titanium Diesel,520000.0,2020,1499,Manual,56052,Second Owner,Diesel,5,24.4,Hatchback
9650,Maruti Ritz LXi,222000.00000000003,2012,1197,Manual,49297,First Owner,Petrol,5,18.5,Hatchback
9652,Kia Seltos HTX IVT G,1470000.0,2021,1497,Automatic,15726,First Owner,Petrol,5,16.8,SUV
9653,Kia Seltos GTX Plus DCT,1720000.0,2020,1353,Automatic,21168,First Owner,Petrol,5,16.5,SUV
9654,Hyundai i20 Magna 1.4 CRDi (Diesel),227000.0,2013,1396,Manual,107224,First Owner,Diesel,5,21.9,Hatchback
9655,Maruti Wagon R VXI 1.2,541000.0,2021,1197,Manual,18543,First Owner,Petrol,5,20.52,Hatchback
9656,Tata Nexon XM Diesel,515000.00000000006,2018,1497,Manual,62764,Third Owner,Diesel,5,23.22,SUV
9657,Renault KWID RXT Optional,393000.0,2019,799,Manual,16174,First Owner,Petrol,5,25.17,Hatchback
9658,Maruti Ritz VDi,326000.0,2014,1248,Manual,72273,First Owner,Diesel,5,23.2,Hatchback
9659,Hyundai i20 1.2 Magna Executive,587000.0,2018,1197,Manual,48250,First Owner,Petrol,5,18.6,Hatchback
9660,Maruti Alto LXi,152000.0,2011,796,Manual,107439,Second Owner,Petrol,5,19.7,Hatchback
9661,Maruti Vitara Brezza VDi,757000.0,2019,1248,Manual,61307,First Owner,Diesel,5,24.3,SUV
9662,Hyundai Creta 1.6 SX Automatic,1132000.0,2018,1591,Automatic,23147,First Owner,Petrol,5,14.8,SUV
9663,Hyundai i20 1.2 Asta Option,646000.0,2018,1197,Manual,43740,First Owner,Petrol,5,18.6,Hatchback
9664,Maruti Wagon R VXI BS IV,197000.0,2010,998,Manual,15588,First Owner,Petrol,5,18.9,Hatchback
9665,Maruti Ertiga VXI,643000.0,2014,1462,Manual,22243,First Owner,Petrol,7,20.51,MUV
9666,Maruti Ciaz 1.4 AT Zeta,625000.0,2017,1373,Automatic,59812,First Owner,Petrol,5,19.12,Sedan
9667,Mercedes-Benz E-Class E250 CDI Avantgrade,1372000.0,2015,2143,Automatic,85612,First Owner,Diesel,5,13.0,Sedan
9668,Hyundai Creta 1.4 E Plus CRDi,700000.0,2017,1396,Manual,174628,First Owner,Diesel,5,22.1,SUV
9669,Maruti Swift 1.2 VXi BSII,150000.0,2010,1197,Manual,167455,First Owner,Petrol,5,16.1,Hatchback
9670,Hyundai i20 1.2 Magna Opt,190000.0,2012,1197,Manual,59707,First Owner,Petrol,5,17.0,Hatchback
9671,Renault Duster 110PS Diesel RxZ,389000.0,2014,1461,Manual,112186,First Owner,Diesel,5,19.01,SUV
9672,Maruti Baleno 1.2 Delta,521000.0,2019,1197,Manual,23136,Second Owner,Petrol,5,21.4,Hatchback
9673,Honda CR-V Diesel 2WD,1650000.0,2019,1597,Automatic,63660,First Owner,Diesel,7,19.5,SUV
9674,Maruti Swift LXI Optional-O,446000.0,2017,1197,Manual,46987,First Owner,Petrol,5,20.4,Hatchback
9675,Maruti Baleno 1.2 Delta,512000.0,2019,1197,Manual,97494,First Owner,Petrol,5,21.4,Hatchback
9676,Maruti A-Star Vxi,161000.0,2010,998,Manual,56493,Third Owner,Petrol,5,19.0,Hatchback
9677,Honda Amaze S Petrol BSIV,501999.99999999994,2017,1199,Manual,31433,First Owner,Petrol,5,19.5,Sedan
9678,Maruti Swift Dzire VXI,395000.0,2015,1197,Manual,86630,Second Owner,Petrol,5,22.41,Sedan
9679,Toyota Glanza V,759000.0,2021,1197,Manual,24378,First Owner,Petrol,5,22.35,Hatchback
9680,Maruti Vitara Brezza VDi AMT,733000.0,2019,1248,Automatic,54125,Second Owner,Diesel,5,24.3,SUV
9681,Maruti Swift VXI,533000.0,2019,1197,Manual,25661,Second Owner,Petrol,5,22.38,Hatchback
9682,Maruti Vitara Brezza VDi,586000.0,2018,1248,Manual,98342,First Owner,Diesel,5,24.3,SUV
9683,Maruti Swift LDI BSIV,282000.0,2014,1248,Manual,114756,Second Owner,Diesel,5,25.2,Hatchback
9684,Skoda Rapid 1.0 TSI Style AT,1675000.0,2021,999,Automatic,10000,First Owner,Petrol,5,16.24,Sedan
9685,Maruti SX4 VXI,9200000.0,2009,1586,Manual,78430,Second Owner,Petrol,5,15.5,Sedan
9686,Hyundai Grand i10 1.2 Kappa Sportz BSIV,465000.00000000006,2018,1197,Manual,23111,First Owner,Petrol,5,18.9,Hatchback
9687,Maruti Alto LXi,130000.0,2012,796,Manual,42087,Second Owner,Petrol,5,19.7,Hatchback
9688,Maruti Ignis Sigma BSVI,461000.00000000006,2022,1197,Manual,20973,First Owner,Petrol,5,20.89,Hatchback
9689,Ford Aspire 1.2 Ti-VCT Titanium Plus,400000.0,2018,1196,Manual,77155,First Owner,Petrol,5,18.16,Sedan
9690,Maruti Ciaz ZDi Plus SHVS,492000.0,2016,1248,Manual,70893,First Owner,Diesel,5,28.09,Sedan
9691,MG Hector Sharp DCT,1320000.0,2019,1451,Automatic,33714,First Owner,Petrol,5,13.96,SUV
9692,Hyundai i10 Magna 1.1,106000.0,2008,1086,Manual,82309,First Owner,Petrol,5,19.81,Hatchback
9693,Hyundai i20 1.2 Sportz Option,200999.99999999997,2011,1197,Manual,93305,Second Owner,Petrol,5,17.0,Hatchback
9694,Maruti Swift VDI BSIV,403000.0,2015,1248,Manual,117499,First Owner,Diesel,5,25.2,Hatchback
9695,Maruti Alto 800 VXI BSIV,352000.0,2019,796,Manual,46881,First Owner,Petrol,5,24.7,Hatchback
9696,Renault KWID RXL,296000.0,2019,799,Manual,32860,Second Owner,Petrol,5,22.25,Hatchback
9698,Ford Ecosport 1.5 TDCi Ambiente BSIV,455000.0,2017,1498,Manual,91888,First Owner,Diesel,5,22.77,SUV
9699,Maruti Swift Dzire VXI,389000.0,2014,1197,Manual,84122,First Owner,Petrol,5,22.41,Sedan
9700,Maruti Alto 800 LXI,346000.0,2021,796,Manual,10900,First Owner,Petrol,5,22.05,Hatchback
9701,Maruti Swift VXI,397000.0,2017,1197,Manual,93464,First Owner,Petrol,5,22.38,Hatchback
9702,Honda City 1.5 S MT,262000.0,2010,1497,Manual,76765,First Owner,Petrol,5,17.0,Sedan
9703,Honda Amaze V CVT Petrol BSIV,681000.0,2018,1199,Automatic,54426,First Owner,Petrol,5,19.0,Sedan
9704,Nissan Magnite Turbo CVT XV BSVI,913000.0000000001,2022,999,Automatic,4352,First Owner,Petrol,5,17.4,SUV
9705,Jaguar XF 2.0 Diesel Prestige,1150000.0,2014,1999,Automatic,93650,Third Owner,Diesel,5,19.33,Sedan
9706,Hyundai i10 Magna,204999.99999999997,2012,1197,Manual,62081,First Owner,Petrol,5,20.36,Hatchback
9707,Mercedes-Benz E-Class E250 CDI,1062000.0,2014,2143,Automatic,128283,First Owner,Diesel,5,13.0,Sedan
9708,Mercedes-Benz C-Class C 200 Kompressor Elegance AT,403000.0,2009,1796,Automatic,71338,Second Owner,Petrol,5,11.74,Sedan
9709,BMW 7 Series 730Ld,1400000.0,2010,2993,Automatic,77487,Second Owner,Diesel,5,14.49,Sedan
9710,Hyundai i20 Asta Option 1.4 CRDi,490000.00000000006,2017,1396,Manual,33437,First Owner,Diesel,5,22.54,Hatchback
9711,Jaguar XJ 3.0L,490000.00000000006,2012,2993,Automatic,56446,Second Owner,Diesel,4,10.5,Sedan
9712,Hyundai EON Era,170000.0,2013,814,Manual,39492,First Owner,Petrol,5,21.1,Hatchback
9713,Hyundai Creta 1.6 SX,1055000.0,2019,1591,Manual,26704,First Owner,Petrol,5,15.8,SUV
9714,Maruti Baleno 1.2 Alpha,508000.0,2017,1197,Manual,86028,First Owner,Petrol,5,21.4,Hatchback
9715,Maruti Swift Dzire VXI,310000.0,2013,1197,Manual,88833,Second Owner,Petrol,5,22.41,Sedan
9716,Honda Brio VX,256999.99999999997,2013,1198,Manual,68266,First Owner,Petrol,5,19.4,Hatchback
9717,Maruti Swift VXI,480999.99999999994,2017,1197,Manual,39046,First Owner,Petrol,5,22.38,Hatchback
9718,Maruti Swift LXI,597000.0,2021,1197,Manual,43062,First Owner,Petrol,5,22.38,Hatchback
9719,Maruti Wagon R VXI BS IV,297000.0,2015,998,Manual,70766,First Owner,Petrol,5,20.51,Hatchback
9720,Hyundai i10 Era 1.1 iTech SE,217000.0,2012,1086,Manual,63585,First Owner,Petrol,5,19.81,Hatchback
9721,Mahindra TUV 300 Plus P8 BSIV,779000.0,2018,2179,Manual,82754,First Owner,Diesel,9,18.49,SUV
9722,Tata Tiago XZ Plus,467000.0,2019,1199,Manual,53263,First Owner,Petrol,5,23.84,Hatchback
9723,Maruti Swift ZXI,432000.0,2014,1197,Manual,56753,Second Owner,Petrol,5,18.6,Hatchback
9724,Maruti Alto 800 VXI BSVI,391000.0,2020,796,Manual,9533,First Owner,Petrol,5,22.05,Hatchback
9725,Mahindra XUV500 W8 2WD,620000.0,2015,2179,Manual,46745,First Owner,Diesel,7,16.0,SUV
9726,Honda Amaze S i-Vtech,335000.0,2015,1198,Manual,43412,Second Owner,Petrol,5,18.0,Sedan
9727,Maruti Swift Dzire VXi,130000.0,2009,1298,Manual,116302,First Owner,Petrol,5,17.5,Sedan
9728,Maruti Alto LXi,6600000.0,2008,796,Manual,48594,Second Owner,Petrol,5,19.7,Hatchback
9729,Maruti Swift Dzire VDI,495000.0,2017,1248,Manual,44451,First Owner,Diesel,5,28.4,Sedan
9730,Hyundai Verna 1.6 SX VTVT,311000.0,2011,1591,Manual,63550,First Owner,Petrol,5,17.01,Sedan
9731,Hyundai Santro Xing GL Plus,165000.0,2011,1086,Manual,82415,First Owner,Petrol,5,17.92,Hatchback
9732,Toyota Etios Cross 1.4L GD,320000.0,2014,1364,Manual,51838,First Owner,Diesel,5,23.59,Hatchback
9733,Tata Tiago 1.2 Revotron XZA,595000.0,2019,1199,Automatic,43220,Second Owner,Petrol,5,23.84,Hatchback
9734,Maruti Swift Dzire VXI 1.2,553000.0,2019,1197,Manual,42110,First Owner,Petrol,5,21.21,Sedan
9735,Tata Tiago 1.05 Revotorq XT,408000.0,2018,1047,Manual,30246,First Owner,Diesel,5,27.28,Hatchback
9736,Maruti Swift Dzire AMT ZXI,755000.0,2019,1197,Automatic,36500,First Owner,Petrol,5,21.21,Sedan
9737,Maruti Swift Dzire VXI 1.2,534000.0,2018,1197,Manual,62621,First Owner,Petrol,5,21.21,Sedan
